MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Years Since Remodel
20,RL,110.0,17727.75,None,3,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960.0,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,4,4,639.0,1,0.0,441.0,1080.0,GasA,2,1,SBrkr,1656.0,0.0,0,1656.0,1.0,0.0,1,0,3,1,3,7,8,2,4,Attchd,1960.0,3,2.0,528.0,3,3,1,210,62,0,0,0,0,0,None,None,0,5,2010,WD,Normal,215000,50.0,50
20,RH,80.0,11622.0,None,4,Lvl,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961.0,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,3,468.0,2,0.0,270.0,882.0,GasA,3,1,SBrkr,896.0,0.0,0,896.0,0.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,0,0,0,MnPrv,None,0,6,2010,WD,Normal,105000,49.0,49
20,RL,81.0,14267.0,None,3,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1958.0,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,1,5,923.0,1,0.0,406.0,1329.0,GasA,3,1,SBrkr,1329.0,0.0,0,1329.0,0.0,0.0,1,1,3,1,4,6,8,0,0,Attchd,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,None,Gar2,0,6,2010,WD,Normal,172000,52.0,52
20,RL,93.0,11160.0,None,4,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,7,5,1968.0,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,3,3,1,5,1065.0,1,0.0,1045.0,2064.25,GasA,5,1,SBrkr,2110.0,0.0,0,2110.0,1.0,0.0,2,1,3,1,5,8,8,2,3,Attchd,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,0,0,None,None,0,4,2010,WD,Normal,244000,42.0,42
60,RL,74.0,13830.0,None,3,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997.0,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,791.0,1,0.0,137.0,928.0,GasA,4,1,SBrkr,928.0,701.0,0,1629.0,0.0,0.0,2,1,3,1,3,6,8,1,3,Attchd,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,MnPrv,None,0,3,2010,WD,Normal,189900,13.0,12
60,RL,78.0,9978.0,None,3,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,1,6,602.0,1,0.0,324.0,926.0,GasA,5,1,SBrkr,926.0,678.0,0,1604.0,0.0,0.0,2,1,3,1,4,7,8,1,4,Attchd,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,None,None,0,6,2010,WD,Normal,195500,12.0,12
120,RL,41.0,4920.0,None,4,Lvl,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001.0,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,2,6,616.0,1,0.0,722.0,1338.0,GasA,5,1,SBrkr,1338.0,0.0,0,1338.0,1.0,0.0,2,0,2,1,4,6,8,0,0,Attchd,2001.0,3,2.0,582.0,3,3,2,0,0,0,0,0,0,0,None,None,0,4,2010,WD,Normal,213500,9.0,9
120,RL,43.0,5005.0,None,3,HLS,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992.0,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,5,263.0,1,0.0,1017.0,1280.0,GasA,5,1,SBrkr,1280.0,0.0,0,1280.0,0.0,0.0,2,0,2,1,4,5,8,0,0,Attchd,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,0,0,0,None,None,0,1,2010,WD,Normal,191500,18.0,18
120,RL,39.0,5389.0,None,3,Lvl,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995.0,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1180.0,1,0.0,415.0,1595.0,GasA,5,1,SBrkr,1616.0,0.0,0,1616.0,1.0,0.0,2,0,2,1,4,5,8,1,3,Attchd,1995.0,2,2.0,608.0,3,3,2,237,152,0,0,0,0,0,None,None,0,3,2010,WD,Normal,236500,15.0,14
60,RL,60.0,7500.0,None,4,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999.0,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,994.0,994.0,GasA,4,1,SBrkr,1028.0,776.0,0,1804.0,0.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,1999.0,3,2.0,442.0,3,3,2,140,60,0,0,0,0,0,None,None,0,6,2010,WD,Normal,189000,11.0,11
