House_Index,Actual,Predicted,Residual,Model
0,298235.99999999994,336876.50108854665,-38640.501088546705,Decision Tree
1,131999.9999999999,138328.7683842358,-6328.768384235882,Decision Tree
2,183500.00000000006,190697.64506782763,-7197.645067827572,Decision Tree
3,198443.99999999985,176133.58877420155,22310.411225798307,Decision Tree
4,250000.00000000023,283872.471957819,-33872.47195781878,Decision Tree
5,140999.99999999968,190697.64506782763,-49697.64506782795,Decision Tree
6,95999.99999999996,109740.16319868565,-13740.163198685696,Decision Tree
7,196000.0000000001,193996.86216543376,2003.1378345663252,Decision Tree
8,169000.00000000012,144276.79401701418,24723.205982985935,Decision Tree
9,126999.99999999991,129958.45925693975,-2958.4592569398374,Decision Tree
10,156999.99999999994,146739.15030592043,10260.849694079516,Decision Tree
11,100000.00000000004,105178.50128917846,-5178.501289178414,Decision Tree
12,142500.00000000012,146739.15030592043,-4239.15030592031,Decision Tree
13,126999.99999999991,156290.94482230797,-29290.944822308054,Decision Tree
14,259000.0,279964.96525172103,-20964.965251721034,Decision Tree
15,248900.00000000047,218980.6134742921,29919.386525708367,Decision Tree
16,109999.99999999971,119172.06280314522,-9172.062803145513,Decision Tree
17,131000.0000000002,146739.15030592043,-15739.150305920222,Decision Tree
18,244999.99999999997,239896.61556988844,5103.384430111531,Decision Tree
19,137500.00000000012,59166.01477687821,78333.98522312191,Decision Tree
20,267000.0,306715.08271407115,-39715.08271407115,Decision Tree
21,162999.9999999996,142836.5904119592,20163.409588040406,Decision Tree
22,274900.00000000006,288793.3472891041,-13893.347289104015,Decision Tree
23,135999.99999999997,172342.7114966458,-36342.71149664582,Decision Tree
24,135000.0000000002,115485.8839465122,19514.116053488004,Decision Tree
25,145899.99999999994,151853.36864198523,-5953.368641985289,Decision Tree
26,186500.0000000001,193996.86216543376,-7496.862165433675,Decision Tree
27,155000.00000000012,240540.02328192454,-85540.02328192443,Decision Tree
28,181000.00000000006,197603.68400303138,-16603.684003031318,Decision Tree
29,114999.99999999971,100516.03666726734,14483.963332732368,Decision Tree
30,175000.00000000012,183307.91448368903,-8307.914483688917,Decision Tree
31,159999.99999999997,190697.64506782763,-30697.64506782766,Decision Tree
32,175000.00000000012,190697.64506782763,-15697.645067827514,Decision Tree
33,201000.00000000035,190697.64506782763,10302.354932172719,Decision Tree
34,100000.00000000004,93563.67728493415,6436.322715065893,Decision Tree
35,60999.999999999956,41371.431300378696,19628.56869962126,Decision Tree
36,96999.99999999999,101312.706501429,-4312.706501429013,Decision Tree
37,369999.9999999991,394494.82258932944,-24494.822589330317,Decision Tree
38,66500.00000000006,129958.45925693975,-63458.45925693969,Decision Tree
39,171999.99999999988,190697.64506782763,-18697.645067827747,Decision Tree
40,195500.00000000006,187284.16937731695,8215.830622683105,Decision Tree
41,199999.99999999997,162934.1903070646,37065.80969293538,Decision Tree
42,177999.99999999994,176133.58877420155,1866.4112257983943,Decision Tree
43,146299.99999999994,146739.15030592043,-439.15030592048424,Decision Tree
44,219999.99999999983,236938.25701236248,-16938.25701236265,Decision Tree
45,500066.99999999965,535936.4046582797,-35869.40465828008,Decision Tree
46,120000.00000000025,127607.74317613205,-7607.7431761318,Decision Tree
47,189999.9999999999,190697.64506782763,-697.6450678277179,Decision Tree
48,269499.9999999999,283872.471957819,-14372.471957819129,Decision Tree
49,213499.99999999994,217216.09303643074,-3716.0930364308006,Decision Tree
50,81300.00000000003,109740.16319868565,-28440.163198685623,Decision Tree
51,150908.9999999999,159154.23666025433,-8245.23666025442,Decision Tree
52,91499.99999999991,129958.45925693975,-38458.45925693984,Decision Tree
53,197000.0000000005,200646.68429500813,-3646.684295007639,Decision Tree
54,108480.00000000001,84204.64185199379,24275.358148006228,Decision Tree
55,120500.00000000016,110087.00173653259,10412.998263467569,Decision Tree
56,127500.00000000001,128113.81478248755,-613.8147824875341,Decision Tree
57,131000.0000000002,135994.7718440614,-4994.771844061208,Decision Tree
58,129000.0000000001,135994.7718440614,-6994.77184406131,Decision Tree
59,148499.99999999988,190697.64506782763,-42197.64506782775,Decision Tree
60,162499.99999999983,129958.45925693975,32541.540743060075,Decision Tree
61,159999.99999999997,149573.0233414797,10426.97665852026,Decision Tree
62,144000.0,144276.79401701418,-276.794017014181,Decision Tree
63,199499.99999999994,190725.36546473083,8774.634535269113,Decision Tree
64,294000.00000000064,262297.31608023564,31702.683919764997,Decision Tree
65,225000.00000000015,217775.42258133716,7224.577418662986,Decision Tree
66,135499.9999999998,146739.15030592043,-11239.15030592063,Decision Tree
67,555000.0000000002,535936.4046582797,19063.595341720502,Decision Tree
68,145000.00000000012,129958.45925693975,15041.540743060366,Decision Tree
69,104999.99999999997,129958.45925693975,-24958.45925693978,Decision Tree
70,88249.99999999997,101312.706501429,-13062.706501429027,Decision Tree
71,257000.00000000058,316959.65332338127,-59959.653323380684,Decision Tree
72,183000.00000000047,200646.68429500813,-17646.684295007668,Decision Tree
73,219999.99999999983,262297.31608023564,-42297.31608023582,Decision Tree
74,156499.99999999985,142836.5904119592,13663.409588040668,Decision Tree
75,235000.0,212711.93917908418,22288.060820915824,Decision Tree
76,79000.00000000006,157094.51144266012,-78094.51144266006,Decision Tree
77,185000.00000000006,187284.16937731695,-2284.1693773168954,Decision Tree
78,134500.00000000006,129958.45925693975,4541.540743060308,Decision Tree
79,119200.00000000007,129958.45925693975,-10758.459256939677,Decision Tree
80,204499.99999999997,218171.46004166687,-13671.460041666898,Decision Tree
81,155000.00000000012,190697.64506782763,-35697.645067827514,Decision Tree
82,139499.9999999999,143270.16762516095,-3770.1676251610334,Decision Tree
83,199999.99999999997,193996.86216543376,6003.137834566209,Decision Tree
84,161000.00000000006,205886.3564085657,-44886.356408565654,Decision Tree
85,210400.0,183511.94377210885,26888.056227891153,Decision Tree
86,118000.00000000009,128113.81478248755,-10113.814782487461,Decision Tree
87,138000.0000000003,105178.50128917846,32821.498710821834,Decision Tree
88,122000.00000000003,119172.06280314522,2827.9371968548076,Decision Tree
89,128900.00000000026,132975.5318301662,-4075.5318301659427,Decision Tree
90,103000.00000000001,79356.54892658163,23643.451073418386,Decision Tree
91,177999.99999999994,197041.03500041662,-19041.035000416683,Decision Tree
92,236499.99999999983,190697.64506782763,45802.354932172195,Decision Tree
93,259999.9999999998,279964.96525172103,-19964.965251721238,Decision Tree
94,184000.00000000015,235567.4797681919,-51567.479768191755,Decision Tree
95,91900.00000000019,87760.13282139527,4139.8671786049235,Decision Tree
96,52000.00000000013,84413.34045033346,-32413.34045033333,Decision Tree
97,139999.9999999999,183307.91448368903,-43307.91448368912,Decision Tree
98,118000.00000000009,129958.45925693975,-11958.459256939663,Decision Tree
99,144000.0,138328.7683842358,5671.231615764205,Decision Tree
100,225999.9999999998,193996.86216543376,32003.137834566034,Decision Tree
101,159000.00000000026,183511.94377210885,-24511.943772108585,Decision Tree
102,181134.00000000003,183511.94377210885,-2377.943772108818,Decision Tree
103,139000.00000000026,117011.6440386321,21988.355961368157,Decision Tree
104,92000.00000000007,128113.81478248755,-36113.814782487476,Decision Tree
105,231713.00000000032,235567.4797681919,-3854.4797681915807,Decision Tree
106,185000.00000000006,157094.51144266012,27905.488557339937,Decision Tree
107,217500.0000000002,190697.64506782763,26802.354932172573,Decision Tree
108,64999.999999999956,59166.01477687821,5833.985223121745,Decision Tree
