House_Index,Actual,Predicted,Residual,Model
0,298235.99999999994,311470.3415351078,-13234.341535107873,linear regression
1,131999.9999999999,134615.640016883,-2615.640016883088,linear regression
2,183500.00000000006,184884.24078994928,-1384.2407899492246,linear regression
3,198443.99999999985,199856.95183816162,-1412.9518381617672,linear regression
4,250000.00000000023,293706.9640020165,-43706.96400201629,linear regression
5,140999.99999999968,141377.98139935316,-377.9813993534772,linear regression
6,95999.99999999996,116200.15861855353,-20200.15861855357,linear regression
7,196000.0000000001,201344.26391909792,-5344.263919097837,linear regression
8,169000.00000000012,135206.58185134846,33793.41814865166,linear regression
9,126999.99999999991,119983.21276711694,7016.787232882969,linear regression
10,156999.99999999994,160080.55361363263,-3080.5536136326846,linear regression
11,100000.00000000004,96168.54721040197,3831.452789598072,linear regression
12,142500.00000000012,151103.15605569357,-8603.156055693456,linear regression
13,126999.99999999991,120808.30295260524,6191.697047394671,linear regression
14,259000.0,242218.65741967584,16781.342580324155,linear regression
15,248900.00000000047,254265.05151803532,-5365.051518034859,linear regression
16,109999.99999999971,122396.30822819345,-12396.308228193739,linear regression
17,131000.0000000002,137683.60142489919,-6683.601424898981,linear regression
18,244999.99999999997,239744.13230096854,5255.867699031427,linear regression
19,137500.00000000012,105934.64298708938,31565.35701291074,linear regression
20,267000.0,264096.6089436992,2903.391056300781,linear regression
21,162999.9999999996,137852.89283344158,25147.10716655801,linear regression
22,274900.00000000006,308744.6848692642,-33844.684869264136,linear regression
23,135999.99999999997,138181.152580837,-2181.1525808370207,linear regression
24,135000.0000000002,133449.43512291796,1550.5648770822445,linear regression
25,145899.99999999994,143642.86344822063,2257.1365517793165,linear regression
26,186500.0000000001,197168.3399848171,-10668.339984817023,linear regression
27,155000.00000000012,168237.56729682258,-13237.567296822468,linear regression
28,181000.00000000006,186697.22179705455,-5697.221797054488,linear regression
29,114999.99999999971,93946.26355858032,21053.736441419387,linear regression
30,175000.00000000012,181529.5613539103,-6529.5613539101905,linear regression
31,159999.99999999997,170185.61827672884,-10185.61827672887,linear regression
32,175000.00000000012,182022.00231676493,-7022.002316764818,linear regression
33,201000.00000000035,192641.63224218867,8358.367757811677,linear regression
34,100000.00000000004,104618.68758368315,-4618.687583683102,linear regression
35,60999.999999999956,52289.905175604734,8710.094824395223,linear regression
36,96999.99999999999,87582.3339181554,9417.666081844582,linear regression
37,369999.9999999991,353242.46400660404,16757.535993395082,linear regression
38,66500.00000000006,92835.39966500679,-26335.399665006727,linear regression
