House_Index,Actual,Predicted,Residual,Model
0,298235.99999999994,301420.8140522791,-3184.8140522791655,Random Forest
1,131999.9999999999,136839.5399429308,-4839.539942930889,Random Forest
2,183500.00000000006,187909.27375965595,-4409.273759655887,Random Forest
3,198443.99999999985,179941.95968139064,18502.040318609215,Random Forest
4,250000.00000000023,296839.83092261455,-46839.83092261432,Random Forest
5,140999.99999999968,150876.9123337481,-9876.91233374842,Random Forest
6,95999.99999999996,110135.45791767823,-14135.457917678272,Random Forest
7,196000.0000000001,197008.25308357106,-1008.2530835709767,Random Forest
8,169000.00000000012,147370.25044394398,21629.749556056136,Random Forest
9,126999.99999999991,125439.35866258328,1560.6413374166295,Random Forest
10,156999.99999999994,144597.73531983513,12402.264680164808,Random Forest
11,100000.00000000004,121629.9368131831,-21629.936813183056,Random Forest
12,142500.00000000012,144075.68161179137,-1575.681611791253,Random Forest
13,126999.99999999991,141746.11565672245,-14746.11565672254,Random Forest
14,259000.0,248410.46709315144,10589.532906848559,Random Forest
15,248900.00000000047,249949.63525500277,-1049.6352550023003,Random Forest
16,109999.99999999971,126481.55769506693,-16481.557695067226,Random Forest
17,131000.0000000002,134136.24878996986,-3136.248789969657,Random Forest
18,244999.99999999997,232315.65262937258,12684.347370627394,Random Forest
19,137500.00000000012,97128.38872875772,40371.61127124239,Random Forest
20,267000.0,298608.1869733812,-31608.186973381205,Random Forest
21,162999.9999999996,146281.80955824585,16718.190441753744,Random Forest
22,274900.00000000006,300198.84656700486,-25298.846567004803,Random Forest
23,135999.99999999997,143582.91709568232,-7582.917095682351,Random Forest
24,135000.0000000002,130922.14789927233,4077.852100727876,Random Forest
25,145899.99999999994,157311.85776903093,-11411.85776903099,Random Forest
26,186500.0000000001,193791.42016051483,-7291.420160514739,Random Forest
27,155000.00000000012,201829.1386376577,-46829.1386376576,Random Forest
28,181000.00000000006,194082.05870759828,-13082.058707598218,Random Forest
29,114999.99999999971,108577.07942642063,6422.920573579075,Random Forest
30,175000.00000000012,174956.2282688256,43.77173117452185,Random Forest
31,159999.99999999997,173056.57241111057,-13056.572411110596,Random Forest
32,175000.00000000012,177280.2416536387,-2280.2416536385717,Random Forest
33,201000.00000000035,191788.16752027388,9211.832479726465,Random Forest
34,100000.00000000004,111300.34767363787,-11300.347673637822,Random Forest
35,60999.999999999956,54226.435892260735,6773.564107739221,Random Forest
36,96999.99999999999,103210.2082069763,-6210.208206976313,Random Forest
37,369999.9999999991,345233.33995247533,24766.660047523794,Random Forest
38,66500.00000000006,110817.34476490923,-44317.34476490917,Random Forest
39,171999.99999999988,181239.25722790556,-9239.257227905677,Random Forest
40,195500.00000000006,193973.8004412181,1526.1995587819547,Random Forest
41,199999.99999999997,186915.5116458926,13084.488354107365,Random Forest
42,177999.99999999994,191783.11544875332,-13783.115448753379,Random Forest
43,146299.99999999994,143540.82086033834,2759.1791396616027,Random Forest
44,219999.99999999983,230278.840234777,-10278.840234777163,Random Forest
45,500066.99999999965,449126.75121582346,50940.24878417619,Random Forest
46,120000.00000000025,141334.25664728458,-21334.256647284332,Random Forest
47,189999.9999999999,197459.69169551806,-7459.691695518151,Random Forest
48,269499.9999999999,279204.20835378545,-9704.208353785565,Random Forest
49,213499.99999999994,224776.51133416695,-11276.511334167008,Random Forest
50,81300.00000000003,97433.8457737026,-16133.845773702575,Random Forest
51,150908.9999999999,163109.62756580024,-12200.627565800329,Random Forest
52,91499.99999999991,107378.21150235843,-15878.211502358521,Random Forest
53,197000.0000000005,191208.04391066916,5791.956089331332,Random Forest
54,108480.00000000001,115722.9769496384,-7242.9769496383815,Random Forest
55,120500.00000000016,117921.05757692776,2578.942423072396,Random Forest
56,127500.00000000001,129079.22773018682,-1579.2277301868016,Random Forest
57,131000.0000000002,133084.26428892853,-2084.2642889283306,Random Forest
58,129000.0000000001,130177.61066487776,-1177.6106648776622,Random Forest
59,148499.99999999988,148860.02630526255,-360.02630526266876,Random Forest
60,162499.99999999983,146681.06626758695,15818.933732412872,Random Forest
61,159999.99999999997,157359.01393253644,2640.9860674635274,Random Forest
62,144000.0,146526.74831991145,-2526.7483199114504,Random Forest
63,199499.99999999994,171570.01691337032,27929.983086629625,Random Forest
64,294000.00000000064,278951.7092668219,15048.290733178728,Random Forest
65,225000.00000000015,222979.3723408603,2020.6276591398346,Random Forest
66,135499.9999999998,135514.91071407186,-14.910714072058909,Random Forest
